Gene name	Human gene name
Ifna6	IFNA5
Ifna6	IFNA4
Ifna6	IFNA16
Ifna6	IFNA2
Ifna6	IFNA13
Ifna6	IFNA10
Ifna6	IFNA17
Ifna6	IFNA6
Ifna6	IFNA7
Ifna6	IFNA21
Ifna6	IFNA8
Ifna6	IFNA1
Loxl2	LOXL2
Pfn1	PFN1
Slamf1	SLAMF1
Repin1	REPIN1
Ifna5	IFNA14
Ifna5	IFNA5
Ifna5	IFNA4
Ifna5	IFNA16
Ifna5	IFNA2
Ifna5	IFNA13
Ifna5	IFNA10
Ifna5	IFNA17
Ifna5	IFNA6
Ifna5	IFNA7
Ifna5	IFNA21
Ifna5	IFNA8
Ifna5	IFNA1
Gzmc	GZMB
Musk	MUSK
Gm45871	ZNF101
Gm45871	ZNF878
Lrrcc1	LRRCC1
Klkb1	KLKB1
Tas2r135	TAS2R60
Fsd2	FSD2
Ikbke	IKBKE
Anks1	ANKS1A
Dbnl	DBNL
Rabl6	RABL6
Hist1h2ba	HIST1H2BA
Snx1	SNX1
Esrrb	ESRRB
Dctn5	DCTN5
Zmiz2	ZMIZ2
Hist1h1b	HIST1H1B
Ssr2	SSR2
Psma2	AC010132.3
Psma2	PSMA2
Tmem119	TMEM119
Tmem144	TMEM144
Smim26	SMIM26
Il12a	IL12A
Tgif2lx2	TGIF2LX
Tgif2lx2	TGIF2LY
Thbs1	THBS1
Ano2	ANO2
Tgif2lx1	TGIF2LX
Tgif2lx1	TGIF2LY
Fbxo10	FBXO10
Olfr779	OR6C6
Dtd1	DTD1
Adora2a	ADORA2A
Trhde	TRHDE
Brs3	BRS3
Gabrq	GABRQ
H13	HM13
Pura	PURA
Pth2r	PTH2R
Mepe	MEPE
AW209491	C7orf25
Tbl1x	TBL1Y
Tbl1x	TBL1X
Hhipl2	HHIPL2
Selenop	SELENOP
Ppp2r5b	PPP2R5B
Tas2r126	TAS2R41
Med7	MED7
Hist1h2aa	HIST1H2AA
Sh3bp4	SH3BP4
Kars	KARS
H1fx	H1FX
Ces2e	CES2
Tmem141	TMEM141
Rab7	RAB7A
Spata31d1a	SPATA31D4
Spata31d1a	SPATA31D1
Spata31d1a	SPATA31D3
Scgn	SCGN
Elavl4	ELAVL4
Eif3j1	EIF3J
Fam159b	FAM159B
Fut8	FUT8
Igip	IGIP
Ccdc166	CCDC166
Nlrp12	NLRP12
Dmrtc1a	DMRTC1B
Dmrtc1a	DMRTC1
Olfr836	OR7G2
Cystm1	CYSTM1
Polr1e	POLR1E
Rsbn1l	RSBN1L
Dcaf15	DCAF15
Adck5	ADCK5
Abcc5	ABCC5
Cirbp	CIRBP
Fbln1	FBLN1
Spg11	SPG11
Cep295	CEP295
Gpha2	GPHA2
Htatsf1	HTATSF1
Col4a3bp	COL4A3BP
Arhgef1	ARHGEF1
Entpd1	ENTPD1
Gsr	GSR
Rabep1	RABEP1
Stk36	STK36
Hipk4	HIPK4
Vps16	VPS16
Stxbp5	STXBP5
Arl5b	ARL5B
Olfr780	OR6C68
Mapk15	MAPK15
Tram1l1	TRAM1L1
Plekhg1	PLEKHG1
Adgrl2	ADGRL2
Vsig4	VSIG4
Snx10	SNX10
Gm4884	C2orf78
Olfr420	OR6K2
Gucy1a2	GUCY1A2
Sp6	SP6
Oog1	PRAMEF33
Oog1	PRAMEF10
Oog1	PRAMEF2
Oog1	PRAMEF20
Oog1	PRAMEF1
Oog1	PRAMEF18
Oog1	PRAMEF27
Oog1	PRAMEF14
Oog1	PRAMEF15
Oog1	PRAMEF4
Oog1	PRAMEF17
Oog1	PRAMEF12
Oog1	PRAMEF11
Oog1	PRAMEF7
Oog1	PRAMEF6
Oog1	PRAMEF19
Oog1	PRAMEF25
Oog1	PRAMEF13
Oog1	PRAMEF8
Oog1	PRAMEF5
Oog1	PRAMEF9
Oog1	PRAMEF26
Ccdc183	CCDC183
Olfr782	OR6C6
Stam2	STAM2
D11Wsu47e	C17orf80
Cd84	CD84
Eci2	ECI2
Atp5g3	ATP5G3
Nsun6	NSUN6
Serf1	SERF1B
Serf1	SERF1A
Fam19a4	FAM19A4
Ces2f	CES2
Myadml2	MYADML2
Acat1	ACAT1
Dscaml1	DSCAML1
Lamb1	LAMB1
Notum	NOTUM
Pip5k1a	PIP5K1A
Agk	AGK
Hdac5	HDAC5
Ifna1	IFNA14
Ifna1	IFNA5
Ifna1	IFNA4
Ifna1	IFNA16
Ifna1	IFNA2
Ifna1	IFNA13
Ifna1	IFNA10
Ifna1	IFNA17
Ifna1	IFNA6
Ifna1	IFNA7
Ifna1	IFNA21
Ifna1	IFNA8
Ifna1	IFNA1
Olfr480	OR5P3
Gcom1	GCOM1
Myzap	GCOM1
Tbx6	TBX6
Pced1a	PCED1A
Tlcd2	TLCD2
Trpc7	TRPC7
Slc2a6	SLC2A6
Podnl1	PODNL1
Fam198b	FAM198B
Gm1661	C1orf228
Fam83c	FAM83C
Lsm2	LSM2
Ccdc169	CCDC169
Hsp90aa1	HSP90AA1
Ehd3	EHD3
Arap2	ARAP2
Pigl	PIGL
Snx13	SNX13
Afap1l2	AFAP1L2
Gbp3	GBP7
Gbp3	GBP4
Pot1a	POT1
Sema3d	SEMA3D
Taf1d	TAF1D
Ubr1	UBR1
Eif6	AL121753.1
Eif6	EIF6
Tcap	TCAP
Magi3	MAGI3
Polr2m	POLR2M
Ttc19	TTC19
Armc1	ARMC1
Lsm3	LSM3
Tmem53	TMEM53
Plekhm1	PLEKHM1
Maml1	MAML1
Fadd	FADD
Zdhhc21	ZDHHC21
Smim14	SMIM14
Celf1	CELF1
Hspbp1	HSPBP1
Scrn2	SCRN2
Ltc4s	LTC4S
Spata31d1b	SPATA31D4
Spata31d1b	SPATA31D1
Spata31d1b	SPATA31D3
Pprc1	PPRC1
Ptpn12	PTPN12
Nrk	NRK
Arhgap27	ARHGAP27
Greb1	GREB1
Serpina10	SERPINA10
Hist1h2an	HIST1H2AB
Hist1h2an	HIST1H2AE
Kif17	KIF17
Gbp2b	GBP2
Serinc1	SERINC1
Tmem59	TMEM59
Ncor1	NCOR1
Ugdh	UGDH
Spata31d1d	SPATA31D4
Spata31d1d	SPATA31D1
Spata31d1d	SPATA31D3
Olfr786	OR6C1
Pld3	PLD3
Ighv1-56	IGHV1OR15-9
Ighv1-56	IGHV1-24
Ighv1-56	IGHV1-18
Ighv1-56	IGHV1OR21-1
Ighv1-56	AC135068.8
Ighv1-56	IGHV1-3
Ighv1-56	IGHV1-69
Ighv1-56	IGHV1-2
Ighv1-56	IGHV1-58
Ighv1-56	AC245369.4
Ighv1-56	AC136616.3
Ighv1-56	IGHV1-45
Ighv1-56	IGHV1-46
Ighv1-56	AC245369.3
Ighv1-56	IGHV1OR15-1
Fmn1	FMN1
Vmn1r74	VN1R1
Pfn4	PFN4
Bod1	BOD1L2
Bod1	BOD1
Eea1	EEA1
Gbp7	GBP7
Gbp7	GBP4
Atp4b	ATP4B
Sfi1	SFI1
Emc7	EMC7
Pah	PAH
Spast	SPAST
Sh2d5	SH2D5
Acsm1	ACSM1
Fam228b	FAM228B
Fam228b	AC008073.3
Fam149b	FAM149B1
Mcts2	MCTS1
4931406C07Rik	C11orf54
Tdp1	TDP1
Marcks	MARCKS
Upb1	UPB1
Klf13	KLF13
Cep57l1	CEP57L1
Zfp691	ZNF691
Gbp5	GBP5
Arpp19	ARPP19
Rtl10	RTL10
Ppip5k2	PPIP5K2
Ldb1	LDB1
Gnb1l	GNB1L
Arl1	ARL1
Sertad2	SERTAD2
Hspb8	HSPB8
Ccar1	CCAR1
Phtf1	PHTF1
Hnrnpul1	HNRNPUL1
Scp2d1	SCP2D1
Zfp239	ZNF239
Spta1	SPTA1
Rgs7bp	RGS7BP
Caly	CALY
Tarsl2	TARSL2
Nup205	NUP205
Blzf1	BLZF1
Ces2g	CES2
Tceanc2	TCEANC2
Gucd1	GUCD1
Sos2	SOS2
Nfkb1	NFKB1
Cdh9	CDH9
Olfr1263	OR4C45
Cnnm4	CNNM4
Srrm4	SRRM4
BB287469	EIF1AY
Olfr1006	OR9G4
Hmbox1	HMBOX1
Aasdhppt	AASDHPPT
AC211878.11	UBL5
Selplg	SELPLG
Cfhr1	CFHR1
Cfhr1	BX248415.1
Cfhr1	CFHR2
Blvra	BLVRA
Gm21319	EIF1AY
Sntb1	SNTB1
Ccnt2	CCNT2
Gm21936	EIF1AY
Gm2016	EIF1AY
Ifne	IFNE
Gm15446	ZNF101
Gm15446	ZNF878
Agap1	AGAP9
Agap1	AGAP4
Agap1	AGAP5
Agap1	AGAP6
Agap1	AGAP1
Fezf2	FEZF2
Map3k21	MAP3K21
Tm2d3	TM2D3
Gm4027	EIF1AY
Ap2s1	AP2S1
Amdhd2	AC093525.1
Amdhd2	AMDHD2
Fam129a	FAM129A
Gm16381	UBL5
Gm2022	EIF1AY
Zfp932	ZNF101
Zfp932	ZNF878
Rad54l	RAD54L
Psma5	PSMA5
Hs3st3b1	HS3ST3A1
Hs3st3b1	HS3ST3B1
Pabpc5	PABPC5
Whamm	WHAMM
Syt2	SYT2
Kit	KIT
Ano1	ANO1
Trav14d-2	TRAV23DV6
Pnmt	PNMT
Stom	STOM
Mtfr1	MTFR1
Fam186a	FAM186A
Slc24a3	SLC24A3
K230010J24Rik	IQANK1
Pnpla2	PNPLA2
Rbpj	RBPJ
Nme7	NME7
Ppp1r12b	PPP1R12B
Cacna2d4	CACNA2D4
Snrpd3	SNRPD3
Ldhc	LDHC
Slco1a6	SLCO1A2
Ntmt1	NTMT1
Rwdd3	RWDD3
Cd55	CD55
Pcnx	PCNX1
Gin1	GIN1
Pde4a	PDE4A
Has2	HAS2
Nup210l	NUP210L
Rspo3	RSPO3
Cpeb4	CPEB4
Gm5592	C2orf78
Lrrc41	LRRC41
Sbf2	SBF2
Gm17655	ZNF101
Gm17655	ZNF878
Rarb	RARB
Gm35315	ZNF101
Gm35315	ZNF878
Agtr1a	AGTR1
Tmem14a	TMEM14A
Atp1b1	ATP1B1
Epb41	EPB41
Kctd11	KCTD11
Dock11	DOCK11
1110032F04Rik	C3orf80
Olfr1264	OR4C3
Hcn2	HCN2
Cox10	COX10
Serpina6	SERPINA6
Cnnm3	CNNM3
Hmga2	HMGA2
Olfr837	OR7G2
Gpatch3	GPATCH3
Fuom	FUOM
Hist1h2ao	HIST1H2AB
Hist1h2ao	HIST1H2AE
Pipox	PIPOX
Ovol3	OVOL3
AI854703	AC073111.5
Ppm1a	PPM1A
Cpped1	CPPED1
Ecsit	ECSIT
Spib	SPIB
Spib	AC020909.1
Ptges2	PTGES2
Slc7a11	SLC7A11
Grk1	GRK1
Sycp1	SYCP1
E330009J07Rik	KIAA1147
Top2b	TOP2B
Sap18	SAP18
Wdr86	WDR86
Cactin	CACTIN
Havcr2	HAVCR2
Trim12c	TRIM5
Tsr1	TSR1
Dgat2	DGAT2
Gm21974	AC135050.2
Pomk	POMK
Prss53	PRSS53
Actrt3	ACTRT3
Olfr839-ps1	OR7G2
Wdr62	WDR62
Utp18	UTP18
Ska3	SKA3
Uqcc1	UQCC1
Lpar1	LPAR1
Hist1h4n	HIST1H4D
Ap3b1	AP3B1
AC163623.2	AC008481.3
Zfp653	ZNF653
Lrrc23	LRRC23
Prr22	PRR22
Mreg	MREG
Tnfrsf11a	TNFRSF11A
Vkorc1	AC135050.2
Gimap8	GIMAP8
Lrtm2	LRTM2
Csnk1e	Z98749.3
Acsbg2	ACSBG2
Sh3rf1	SH3RF1
Zfp646	ZNF646
Lmcd1	LMCD1
Spp1	SPP1
Ints7	INTS7
Olfr843	OR7G2
Zfp668	ZNF668
Cops5	COPS5
Prap1	PRAP1
Cdc123	CDC123
Ldb2	LDB2
Hist1h2ap	HIST1H2AB
Hist1h2ap	HIST1H2AE
Ssbp4	SSBP4
1600002H07Rik	C16orf59
Nostrin	NOSTRIN
Kcnk13	KCNK13
Smg6	SMG6
Fnta	FNTA
Elavl3	ELAVL3
Ccdc150	CCDC150
Clec4d	CLEC4D
Nup214	NUP214
Ktn1	KTN1
Anxa1	ANXA1
Gm10272	KRTAP12-3
Gm10272	KRTAP12-1
Gm10272	KRTAP12-2
Naa11	NAA11
Tspear	TSPEAR
Abcc8	ABCC8
Gk2	GK2
Topors	TOPORS
Usp1	USP1
Plcxd1	PLCXD1
Zscan10	ZSCAN10
Kcnk1	KCNK1
Ager	AGER
Scrib	SCRIB
Asph	ASPH
Atp6v0c	ATP6V0C
Pias1	PIAS1
Ndufb6	NDUFB6
Slmap	SLMAP
Tbxa2r	TBXA2R
Cer1	CER1
Ighv8-8	IGHV2-5
Ighv8-8	IGHV2-70
Ighv8-8	AC245369.1
Ighv8-8	IGHV2OR16-5
Ighv8-8	IGHV2-26
Fcgrt	FCGRT
Gm3238	KRTAP10-1
Gm3238	KRTAP10-10
Gm3238	KRTAP10-5
Gm3238	KRTAP10-2
Gm3238	KRTAP10-3
Gm3238	KRTAP10-9
Gm3238	KRTAP10-11
Gm3238	KRTAP10-4
Gm3238	KRTAP10-8
Pate3	PATE3
Tas2r140	TAS2R14
Olfr845	OR7G2
Gm3285	KRTAP10-1
Gm3285	KRTAP10-10
Gm3285	KRTAP10-5
Gm3285	KRTAP10-2
Gm3285	KRTAP10-3
Gm3285	KRTAP10-9
Gm3285	KRTAP10-11
Gm3285	KRTAP10-4
Gm3285	KRTAP10-8
Gm3250	KRTAP10-1
Gm3250	KRTAP10-10
Gm3250	KRTAP10-5
Gm3250	KRTAP10-2
Gm3250	KRTAP10-3
Gm3250	KRTAP10-9
Gm3250	KRTAP10-11
Gm3250	KRTAP10-4
Gm3250	KRTAP10-8
Pate4	PATE4
Sohlh2	SOHLH2
Sohlh2	CCDC169-SOHLH2
Toporsos	SMIM27
AC158603.4	KRTAP10-1
AC158603.4	KRTAP10-10
AC158603.4	KRTAP10-5
AC158603.4	KRTAP10-2
AC158603.4	KRTAP10-3
AC158603.4	KRTAP10-9
AC158603.4	KRTAP10-11
AC158603.4	KRTAP10-4
AC158603.4	KRTAP10-8
Sec61a2	SEC61A2
Coro1c	CORO1C
Gm10100	KRTAP12-3
Gm10100	KRTAP12-1
Gm10100	KRTAP12-2
AC153874.1	KRTAP10-1
AC153874.1	KRTAP10-10
AC153874.1	KRTAP10-5
AC153874.1	KRTAP10-2
AC153874.1	KRTAP10-3
AC153874.1	KRTAP10-9
AC153874.1	KRTAP10-11
AC153874.1	KRTAP10-4
AC153874.1	KRTAP10-8
Fsip1	FSIP1
Gm2696	KRTAP10-1
Gm2696	KRTAP10-10
Gm2696	KRTAP10-5
Gm2696	KRTAP10-2
Gm2696	KRTAP10-3
Gm2696	KRTAP10-9
Gm2696	KRTAP10-11
Gm2696	KRTAP10-4
Gm2696	KRTAP10-8
Kbtbd3	KBTBD3
Tbx20	TBX20
Pate1	PATE1
Eif4enif1	EIF4ENIF1
Rtcb	RTCB
AC153864.3	KRTAP10-1
AC153864.3	KRTAP10-10
AC153864.3	KRTAP10-5
AC153864.3	KRTAP10-2
AC153864.3	KRTAP10-3
AC153864.3	KRTAP10-9
AC153864.3	KRTAP10-11
AC153864.3	KRTAP10-4
AC153864.3	KRTAP10-8
Gm10142	KRTAP12-3
Gm10142	KRTAP12-1
Gm10142	KRTAP12-2
Gtpbp6	GTPBP6
Spsb2	SPSB2
Gm3233	KRTAP10-1
Gm3233	KRTAP10-10
Gm3233	KRTAP10-5
Gm3233	KRTAP10-2
Gm3233	KRTAP10-3
Gm3233	KRTAP10-9
Gm3233	KRTAP10-11
Gm3233	KRTAP10-4
Gm3233	KRTAP10-8
Tada3	TADA3
Pus3	PUS3
Cspp1	CSPP1
Tbc1d24	NTN3
Gm10024	KRTAP12-3
Gm10024	KRTAP12-1
Gm10024	KRTAP12-2
Mymk	MYMK
Gm9507	KRTAP10-1
Gm9507	KRTAP10-10
Gm9507	KRTAP10-5
Gm9507	KRTAP10-2
Gm9507	KRTAP10-3
Gm9507	KRTAP10-9
Gm9507	KRTAP10-11
Gm9507	KRTAP10-4
Gm9507	KRTAP10-8
Krtap12-1	KRTAP12-3
Krtap12-1	KRTAP12-1
Krtap12-1	KRTAP12-2
Nup35	NUP35
Igkv14-111	IGKV1D-13
Igkv14-111	IGKV1-9
Igkv14-111	IGKV1-27
Igkv14-111	IGKV1-6
Igkv14-111	IGKV1-37
Igkv14-111	IGKV1D-8
Igkv14-111	IGKV1-33
Igkv14-111	IGKV1D-43
Igkv14-111	IGKV1-16
Igkv14-111	IGKV1OR2-108
Igkv14-111	IGKV1-8
Igkv14-111	IGKV1-5
Igkv14-111	IGKV1-12
Igkv14-111	IGKV1-39
Igkv14-111	IGKV1D-12
Igkv14-111	IGKV1D-33
Igkv14-111	IGKV1D-37
Igkv14-111	IGKV1D-39
Shisa9	SHISA9
Tpi1	TPI1
Rcn3	RCN3
Gm7137	KRTAP10-1
Gm7137	KRTAP10-10
Gm7137	KRTAP10-5
Gm7137	KRTAP10-2
Gm7137	KRTAP10-3
Gm7137	KRTAP10-9
Gm7137	KRTAP10-11
Gm7137	KRTAP10-4
Gm7137	KRTAP10-8
Pate2	PATE2
Msantd4	MSANTD4
Olfr1265	OR4X2
Gpr176	GPR176
Cbr1	CBR1
Gm19402	KRTAP10-1
Gm19402	KRTAP10-10
Gm19402	KRTAP10-5
Gm19402	KRTAP10-2
Gm19402	KRTAP10-3
Gm19402	KRTAP10-9
Gm19402	KRTAP10-11
Gm19402	KRTAP10-4
Gm19402	KRTAP10-8
Ascl4	ASCL4
Srr	SRR
Rsbn1	RSBN1
Antxr2	ANTXR2
Krtap10-4	KRTAP10-1
Krtap10-4	KRTAP10-10
Krtap10-4	KRTAP10-5
Krtap10-4	KRTAP10-2
Krtap10-4	KRTAP10-3
Krtap10-4	KRTAP10-9
Krtap10-4	KRTAP10-11
Krtap10-4	KRTAP10-4
Krtap10-4	KRTAP10-8
Klrc3	KLRC3
Klrc3	AC068775.2
Klrc3	KLRC2
Klrc3	KLRC1
Klrc3	KLRC4
Klrc3	KLRC4-KLRK1
Gm7138	KRTAP10-1
Gm7138	KRTAP10-10
Gm7138	KRTAP10-5
Gm7138	KRTAP10-2
Gm7138	KRTAP10-3
Gm7138	KRTAP10-9
Gm7138	KRTAP10-11
Gm7138	KRTAP10-4
Gm7138	KRTAP10-8
Drc7	DRC7
Dip2b	DIP2B
Ighv1-58	IGHV1OR15-9
Ighv1-58	IGHV1-24
Ighv1-58	IGHV1-18
Ighv1-58	IGHV1OR21-1
Ighv1-58	AC135068.8
Ighv1-58	IGHV1-3
Ighv1-58	IGHV1-69
Ighv1-58	IGHV1-2
Ighv1-58	IGHV1-58
Ighv1-58	AC245369.4
Ighv1-58	AC136616.3
Ighv1-58	IGHV1-45
Ighv1-58	IGHV1-46
Ighv1-58	AC245369.3
Ighv1-58	IGHV1OR15-1
Olfr1008	OR8K5
Gm10318	KRTAP10-1
Gm10318	KRTAP10-10
Gm10318	KRTAP10-5
Gm10318	KRTAP10-2
Gm10318	KRTAP10-3
Gm10318	KRTAP10-9
Gm10318	KRTAP10-11
Gm10318	KRTAP10-4
Gm10318	KRTAP10-8
Ipo13	IPO13
Gm19668	KRTAP10-1
Gm19668	KRTAP10-10
Gm19668	KRTAP10-5
Gm19668	KRTAP10-2
Gm19668	KRTAP10-3
Gm19668	KRTAP10-9
Gm19668	KRTAP10-11
Gm19668	KRTAP10-4
Gm19668	KRTAP10-8
Rhod	RHOD
Krtap10-10	KRTAP10-1
Krtap10-10	KRTAP10-10
Krtap10-10	KRTAP10-5
Krtap10-10	KRTAP10-2
Krtap10-10	KRTAP10-3
Krtap10-10	KRTAP10-9
Krtap10-10	KRTAP10-11
Krtap10-10	KRTAP10-4
Krtap10-10	KRTAP10-8
Ankrd35	ANKRD35
Zfp37	ZFP37
AC158603.3	KRTAP10-1
AC158603.3	KRTAP10-10
AC158603.3	KRTAP10-5
AC158603.3	KRTAP10-2
AC158603.3	KRTAP10-3
AC158603.3	KRTAP10-9
AC158603.3	KRTAP10-11
AC158603.3	KRTAP10-4
AC158603.3	KRTAP10-8
Hyls1	HYLS1
Ighv1-59	IGHV1OR15-9
Ighv1-59	IGHV1-24
Ighv1-59	IGHV1-18
Ighv1-59	IGHV1OR21-1
Ighv1-59	AC135068.8
Ighv1-59	IGHV1-3
Ighv1-59	IGHV1-69
Ighv1-59	IGHV1-2
Ighv1-59	IGHV1-58
Ighv1-59	AC245369.4
Ighv1-59	AC136616.3
Ighv1-59	IGHV1-45
Ighv1-59	IGHV1-46
Ighv1-59	AC245369.3
Ighv1-59	IGHV1OR15-1
Nrcam	NRCAM
Cc2d1a	CC2D1A
Nudt5	NUDT5
Itgb5	ITGB5
2810474O19Rik	KIAA1551
Ift80	IFT80
Ift80	AC079594.2
Klhl32	KLHL32
Syt12	SYT12
Fzd4	FZD4
Mtap	AL359922.1
Mtap	MTAP
Dusp19	DUSP19
Tnip2	TNIP2
Gas6	GAS6
Lad1	LAD1
Birc5	BIRC5
Cetn2	CETN2
Heph	HEPH
Tmem70	TMEM70
Sort1	SORT1
Ddost	DDOST
Rnf180	RNF180
Ssu2	SSUH2
Serpina7	SERPINA7
Pold1	POLD1
Tmem255b	TMEM255B
Ppp1r9b	PPP1R9B
Nexn	NEXN
Gpn2	GPN2
Olfr846	OR7G2
Tmem235	TMEM235
Isca1	ISCA1
Crygn	CRYGN
Dnajc27	DNAJC27
