Amp.Batch.ID	Seq.Batch.ID	Batch.Set.ID	organ	site	date	sorting.scheme	PIC	patient	noise_estimation	geneitcs	tissue	treatment	replicate	timepoint	ncells	organism	reads	umis
AB12524	SB427	Plate 1_Tumor_2_OT2_Singlet,	NA	NA	20200513	TCRb+CD45.1+	Singlets	NA	NA	CD45.1+OT-II_into_B6-host	tumor	Ova-Vaccination	2	d10	3	Mouse	19161.3333333333	1186
AB12526	SB427	Plate 3_Tumor_2_Endo_Singlet,	NA	NA	20200513	TCRb+	Singlets	NA	NA	CD45.1+OT-II_into_B6-host	tumor	Ova-Vaccination	2	d10	12	Mouse	19559.75	3188
AB12527	SB427	Plate 7_Tumor_3_OT2_Singlet,	NA	NA	20200513	TCRb+CD45.1+	Singlets	NA	NA	CD45.1+OT-II_into_B6-host	tumor	Ova-Vaccination	3	d10	16	Mouse	31579.4375	1572.9375
AB12528	SB427	Plate 9_Tumor_5_Endo_Singlet,	NA	NA	20200513	TCRb+	Singlets	NA	NA	CD45.1+OT-II_into_B6-host	tumor	Ova-Vaccination	5	d10	77	Mouse	21800.6363636364	2164.85714285714
AB12530	SB427	Plate 13_dLN_1_OT2_Singlet,	NA	NA	20200513	TCRb+CD45.1+	Singlets	NA	NA	CD45.1+OT-II_into_B6-host	dLN	Ova-Vaccination	1	d10	271	Mouse	16862.7158671587	1489.84501845018
AB12531	SB427	Plate 14_dLN_1_OT2_Singlet,	NA	NA	20200513	TCRb+CD45.1+	Singlets	NA	NA	CD45.1+OT-II_into_B6-host	dLN	Ova-Vaccination	1	d10	230	Mouse	17843.0956521739	1467.50869565217
AB12532	SB427	Plate 15_dLN_1_Endo_Singlet,	NA	NA	20200513	TCRb+	Singlets	NA	NA	CD45.1+OT-II_into_B6-host	dLN	Ova-Vaccination	1	d10	195	Mouse	19305.158974359	1120.58974358974
AB12533	SB427	Plate 17_dLN_1_Endo_Singlet,	NA	NA	20200513	TCRb+	Singlets	NA	NA	CD45.1+OT-II_into_B6-host	dLN	Ova-Vaccination	1	d10	200	Mouse	25362.52	1496.655
AB12534	SB427	Plate 18_dLN_1_PIC_PIC,	NA	NA	20200513	TCRb+CD11c+	PIC	NA	NA	CD45.1+OT-II_into_B6-host	dLN	Ova-Vaccination	1	d10	124	Mouse	15348.4435483871	867.685483870968
AB12535	SB427	Plate 19_dLN_1_DC_Singlet,	NA	NA	20200513	Cd11c+	Singlets	NA	NA	CD45.1+OT-II_into_B6-host	dLN	Ova-Vaccination	1	d10	251	Mouse	18811.6772908367	1559.06374501992
AB12536	SB427	Plate 21_dLN_2_OT2_Singlet,	NA	NA	20200513	TCRb+CD45.1+	Singlets	NA	NA	CD45.1+OT-II_into_B6-host	dLN	Ova-Vaccination	2	d10	5	Mouse	21309.2	646.2
AB12537	SB427	Plate 22_dLN_2_OT2_Singlet,	NA	NA	20200513	TCRb+CD45.1+	Singlets	NA	NA	CD45.1+OT-II_into_B6-host	dLN	Ova-Vaccination	2	d10	1	Mouse	16003	875
AB12538	SB427	Plate 23_dLN_2_Endo_Singlet,	NA	NA	20200513	TCRb+	Singlets	NA	NA	CD45.1+OT-II_into_B6-host	dLN	Ova-Vaccination	2	d10	80	Mouse	34263.0625	1152.8
AB12539	SB427	Plate 25_dLN_2_PIC_PIC,	NA	NA	20200513	TCRb+CD11c+	PIC	NA	NA	CD45.1+OT-II_into_B6-host	dLN	Ova-Vaccination	2	d10	65	Mouse	25982.1384615385	1064.72307692308
AB12540	SB427	Plate 26_dLN_2_DC_Singlet,	NA	NA	20200513	Cd11c+	Singlets	NA	NA	CD45.1+OT-II_into_B6-host	dLN	Ova-Vaccination	2	d10	69	Mouse	25995.6811594203	959.36231884058
AB12541	SB427	Plate 27_dLN_2_DC_Singlet,	NA	NA	20200513	Cd11c+	Singlets	NA	NA	CD45.1+OT-II_into_B6-host	dLN	Ova-Vaccination	2	d10	138	Mouse	23504.3913043478	1174.85507246377
AB12542	SB427	Plate 28_dLN_5_OT2_Singlet,	NA	NA	20200513	TCRb+CD45.1+	Singlets	NA	NA	CD45.1+OT-II_into_B6-host	dLN	Ova-Vaccination	5	d10	246	Mouse	26226.9593495935	1145.96341463415
AB12543	SB427	Plate 29_dLN_5_Endo_Singlet,	NA	NA	20200513	TCRb+	Singlets	NA	NA	CD45.1+OT-II_into_B6-host	dLN	Ova-Vaccination	5	d10	249	Mouse	22558.3935742972	1189.98795180723
AB12544	SB427	Plate 30_dLN_5_PIC_PIC,	NA	NA	20200513	TCRb+CD11c+	PIC	NA	NA	CD45.1+OT-II_into_B6-host	dLN	Ova-Vaccination	5	d10	290	Mouse	16870.5103448276	1976.43793103448
AB12545	SB427	Plate 31_dLN_5_DC_Singlet,	NA	NA	20200513	Cd11c+	Singlets	NA	NA	CD45.1+OT-II_into_B6-host	dLN	Ova-Vaccination	5	d10	242	Mouse	17694.6859504132	1856.04958677686
AB12546	SB427	Plate 32_cLN_3_OT2_Singlet,	NA	NA	20200513	TCRb+CD45.1+	Singlets	NA	NA	CD45.1+OT-II_into_B6-host	cLN	Ova-Vaccination	3	d10	152	Mouse	22820.0197368421	1081.42105263158
AB12547	SB427	Plate 33_cLN_3_Endo_Singlet,	NA	NA	20200513	TCRb+	Singlets	NA	NA	CD45.1+OT-II_into_B6-host	cLN	Ova-Vaccination	3	d10	25	Mouse	31086.44	689.76
AB12548	SB427	Plate 34_cLN_3_PIC_PIC,	NA	NA	20200513	TCRb+CD11c+	PIC	NA	NA	CD45.1+OT-II_into_B6-host	cLN	Ova-Vaccination	3	d10	210	Mouse	19838.5666666667	1200.3380952381
AB12549	SB427	Plate 35_cLN_3_DC_Singlet,	NA	NA	20200513	Cd11c+	Singlets	NA	NA	CD45.1+OT-II_into_B6-host	cLN	Ova-Vaccination	3	d10	76	Mouse	25685.3684210526	954.013157894737
AB12550	SB427	Plate 36_cLN_4_OT2_Singlet,	NA	NA	20200513	TCRb+CD45.1+	Singlets	NA	NA	CD45.1+OT-II_into_B6-host	cLN	Ova-Vaccination	4	d10	260	Mouse	16425.5961538462	1353.46923076923
AB12551	SB427	Plate 38_cLN_4_PIC_PIC,	NA	NA	20200513	TCRb+CD11c+	PIC	NA	NA	CD45.1+OT-II_into_B6-host	cLN	Ova-Vaccination	4	d10	300	Mouse	19792.39	1698.37666666667
AB12552	SB427	Plate 39_cLN_4_DC_Singlet,	NA	NA	20200513	Cd11c+	Singlets	NA	NA	CD45.1+OT-II_into_B6-host	cLN	Ova-Vaccination	4	d10	267	Mouse	19135.6441947566	1523.87265917603
AB12553	SB427	25.4.21_Plate 4_Tumor_1_OT2_Singlets,	NA	NA	20200513	TCRb+CD45.1+	Singlets	NA	NA	CD45.1+OT-II_into_B6-host	tumor	Ova-Vaccination	6	d17	35	Mouse	14934.6857142857	2847.02857142857
AB12554	SB427	25.4.21_Plate 6_Tumor_2_Endo_Singlets,	NA	NA	20200513	TCRb+	Singlets	NA	NA	CD45.1+OT-II_into_B6-host	tumor	Ova-Vaccination	7	d17	187	Mouse	15815.4385026738	1648.38502673797
AB12555	SB427	25.4.21_Plate 7_Tumor_2_PIC_PIC,	NA	NA	20200513	TCRb+CD11c+	PIC	NA	NA	CD45.1+OT-II_into_B6-host	tumor	Ova-Vaccination	7	d17	242	Mouse	17782.0082644628	3115.24380165289
AB12558	SB427	25.4.21_Plate 10_dLN_1_OT2_Singlets,	NA	NA	20200513	TCRb+CD45.1+	Singlets	NA	NA	CD45.1+OT-II_into_B6-host	dLN	Ova-Vaccination	6	d17	85	Mouse	26427.6941176471	1152.6
AB12559	SB427	25.4.21_Plate 12_dLN_1_Endo_Singlets,	NA	NA	20200513	TCRb+	Singlets	NA	NA	CD45.1+OT-II_into_B6-host	dLN	Ova-Vaccination	6	d17	265	Mouse	14791.0339622642	1203.8
AB12560	SB427	25.4.21_Plate 13_dLN_1_PIC_PIC,	NA	NA	20200513	TCRb+CD11c+	PIC	NA	NA	CD45.1+OT-II_into_B6-host	dLN	Ova-Vaccination	6	d17	33	Mouse	14609.4848484848	792.454545454545
AB12562	SB427	25.4.21_Plate 16_dLN_2_Endo_Singlets,	NA	NA	20200513	TCRb+	Singlets	NA	NA	CD45.1+OT-II_into_B6-host	dLN	Ova-Vaccination	7	d17	286	Mouse	18552.1538461538	1623.79370629371
AB12563	SB427	25.4.21_Plate 17_dLN_2_Endo_Singlets,	NA	NA	20200513	TCRb+	Singlets	NA	NA	CD45.1+OT-II_into_B6-host	dLN	Ova-Vaccination	7	d17	332	Mouse	16249.6204819277	1657.01204819277
AB12564	SB427	25.4.21_Plate 18_dLN_2_PIC_PIC,	NA	NA	20200513	TCRb+CD11c+	PIC	NA	NA	CD45.1+OT-II_into_B6-host	dLN	Ova-Vaccination	7	d17	328	Mouse	14677.3993902439	2933.34756097561
AB12566	SB427	25.4.21_Plate 21_dLN_3_OT2_Singlets,	NA	NA	20200513	TCRb+CD45.1+	Singlets	NA	NA	CD45.1+OT-II_into_B6-host	dLN	Ova-Vaccination	8	d17	58	Mouse	15079.3793103448	4021.89655172414
AB12567	SB427	25.4.21_Plate 22_cLN_1_OT2_Singlets,	NA	NA	20200513	TCRb+CD45.1+	Singlets	NA	NA	CD45.1+OT-II_into_B6-host	cLN	Ova-Vaccination	6	d17	77	Mouse	25811.2597402597	2399.12987012987
AB12568	SB427	25.4.21_Plate 23_cLN_1_Endo_Singlets,	NA	NA	20200513	TCRb+	Singlets	NA	NA	CD45.1+OT-II_into_B6-host	cLN	Ova-Vaccination	6	d17	252	Mouse	21486.2063492063	1351.43650793651
AB12569	SB427	25.4.21_Plate 24_cLN_1_Endo_Singlets,	NA	NA	20200513	TCRb+	Singlets	NA	NA	CD45.1+OT-II_into_B6-host	cLN	Ova-Vaccination	6	d17	283	Mouse	21503.7067137809	1382.64310954064
AB12570	SB427	25.4.21_Plate 25_cLN_1_PIC_PIC,	NA	NA	20200513	TCRb+CD11c+	PIC	NA	NA	CD45.1+OT-II_into_B6-host	cLN	Ova-Vaccination	6	d17	318	Mouse	20373.2075471698	2328.42767295597
AB12572	SB427	25.4.21_Plate 28_cLN_4_Endo_Singlets,	NA	NA	20200513	TCRb+	Singlets	NA	NA	CD45.1+OT-II_into_B6-host	cLN	Ova-Vaccination	9	d17	261	Mouse	1465.33333333333	1174.83908045977
AB12573	SB427	25.4.21_Plate 29_cLN_4_Endo_Singlets,	NA	NA	20200513	TCRb+	Singlets	NA	NA	CD45.1+OT-II_into_B6-host	cLN	Ova-Vaccination	9	d17	288	Mouse	16764.8055555556	1236.01388888889
AB12609	SB427	Plate 10_Tumor_5_Endo_Singlet	NA	NA	20200513	TCRb+	Singlets	NA	NA	CD45.1+OT-II_into_B6-host	tumor	Ova-Vaccination	5	d10	25	Mouse	41283	3144.24
AB12610	SB427	Plate 16_dLN_1_Endo_Singlet	NA	NA	20200513	TCRb+	Singlets	NA	NA	CD45.1+OT-II_into_B6-host	dLN	Ova-Vaccination	1	d10	241	Mouse	30433.2738589212	1438.26556016598
AB12611	SB427	Plate 20_dLN_1_DC_Singlet	NA	NA	20200513	Cd11c+	Singlets	NA	NA	CD45.1+OT-II_into_B6-host	dLN	Ova-Vaccination	1	d10	229	Mouse	22415.5676855895	1132.88209606987
AB12612	SB427	Plate 24_dLN_2_Endo_Singlet	NA	NA	20200513	TCRb+	Singlets	NA	NA	CD45.1+OT-II_into_B6-host	dLN	Ova-Vaccination	2	d10	57	Mouse	14896.5438596491	1112.45614035088
AB12613	SB427	Plate 37_cLN_4_Endo_Singlet	NA	NA	20200513	TCRb+	Singlets	NA	NA	CD45.1+OT-II_into_B6-host	cLN	Ova-Vaccination	4	d10	203	Mouse	24882.8571428571	1266.02955665025
AB12614	SB427	25.4.21_Plate 5_Tumor_2_Endo_Singlets	NA	NA	20200513	TCRb+	Singlets	NA	NA	CD45.1+OT-II_into_B6-host	tumor	Ova-Vaccination	7	d17	169	Mouse	25131.8284023669	1256.69822485207
AB12615	SB427	25.4.21_Plate 11_dLN_1_Endo_Singlets	NA	NA	20200513	TCRb+	Singlets	NA	NA	CD45.1+OT-II_into_B6-host	dLN	Ova-Vaccination	6	d17	299	Mouse	19591.5150501672	1424.34782608696
AB12616	SB427	25.4.21_Plate 15_dLN_2_OT2_Singlets	NA	NA	20200513	TCRb+CD45.1+	Singlets	NA	NA	CD45.1+OT-II_into_B6-host	dLN	Ova-Vaccination	7	d17	230	Mouse	19310.3173913043	1561.10869565217
AB12619	SB427	25.4.21_Plate 30_cLN_4_PIC_PIC	NA	NA	20200513	TCRb+CD11c+	PIC	NA	NA	CD45.1+OT-II_into_B6-host	cLN	Ova-Vaccination	9	d17	181	Mouse	20780.226519337	2270.81215469613
AB12621	SB427	25.4.21_Plate 37_Tumor_2_PIC_PIC	NA	NA	20200513	TCRb+CD11c+	PIC	NA	NA	CD45.1+OT-II_into_B6-host	tumor	Ova-Vaccination	7	d17	109	Mouse	24619.9266055046	2674.65137614679
AB6039	SB304	T_mono-culture_T_only	NA	NA	20181111	Trbc+	Singlets	NA	NA	Ova+WT-DC+OT-II-Tcells	in vitro	OVA + LPS T only	NA	20h	254	Mouse	19256.937007874	978.885826771654
AB6040	SB304	T_mono-culture_T_only	NA	NA	20181111	Trbc+	Singlets	NA	NA	Ova+WT-DC+OT-II-Tcells	in vitro	OVA + LPS T only	NA	20h	258	Mouse	17693.4263565891	1262.14728682171
AB6211	SB309	mono-culture_20h_T	NA	NA	20181211	Trbc+	Singlets	NA	NA	Ova+WT-DC+OT-II-Tcells	in vitro	OVA + LPS T only	NA	20h	175	Mouse	15990.1257142857	742.691428571429
AB7577	SB355	Patient 2 Tumor_human_2_PIC_CD3_Myelo_8	lung	tumor	20190829	CD3+Myelo+	PIC	2	0.02	NA	NA	NA	NA	NA	84	Human	27293.9166666667	1550.89285714286
AB7578	SB355	Patient 2 Tumor_human_2_singlet_Myelo_9	lung	tumor	20190829	Myelo+	Singlets	2	0.011	NA	NA	NA	NA	NA	235	Human	26762.8042553191	1922.55319148936
AB7579	SB355	Patient 2 Tumor_human_2_singlet_CD3_10	lung	tumor	20190829	CD3+	Singlets	2	0.014	NA	NA	NA	NA	NA	92	Human	24568.5217391304	1022.59782608696
AB7580	SB355	Patient 2 Tumor_human_2_singlet_CD3_11	lung	tumor	20190829	CD3+	Singlets	2	0.016	NA	NA	NA	NA	NA	149	Human	25374.8657718121	948.107382550336
AB7581	SB355	Patient 2 Tumor_human_2_singlet_Myelo_12	lung	tumor	20190829	Myelo+	Singlets	2	0.03	NA	NA	NA	NA	NA	234	Human	25030.1623931624	1491.11965811966
AB7582	SB356	Patient 2 Nornal_human_2_PIC_CD3_Myelo_1	lung	normal	20190829	CD3+Myelo+	PIC	2	0.014	NA	NA	NA	NA	NA	172	Human	25521.6395348837	1364.58720930233
AB7583	SB356	Patient 2 Nornal_human_2_PIC_CD3_Myelo_2	lung	normal	20190829	CD3+Myelo+	PIC	2	0.616	NA	NA	NA	NA	NA	90	Human	24855.4888888889	1627.13333333333
AB7584	SB356	Patient 2 Nornal_human_2_singlets_Myelo_3	lung	normal	20190829	Myelo+	Singlets	2	0.026	NA	NA	NA	NA	NA	158	Human	27328.9050632911	1189.37341772152
AB7585	SB356	Patient 2 Nornal_human_2_singlets_Myelo_4	lung	normal	20190829	Myelo+	Singlets	2	0.012	NA	NA	NA	NA	NA	211	Human	27282.644549763	1790.27962085308
AB7586	SB356	Patient 2 Nornal_human_2_singlets_CD3_5	lung	normal	20190829	CD3+	Singlets	2	0.011	NA	NA	NA	NA	NA	111	Human	18186.8828828829	1010.71171171171
AB7587	SB356	Patient 2 Nornal_human_2_singlets_CD3_6	lung	normal	20190829	CD3+	Singlets	2	0.014	NA	NA	NA	NA	NA	85	Human	27397.6705882353	896.482352941176
AB7590	SB356	Patient 3 Tumor_human_3_singlet_Myelo_3	lung	tumor	20190829	Myelo+	Singlets	3	0.007	NA	NA	NA	NA	NA	222	Human	27143.7252252252	3230.85585585586
AB7591	SB356	Patient 3 Tumor_human_3_singlet_CD3_4	lung	tumor	20190829	CD3+	Singlets	3	0.014	NA	NA	NA	NA	NA	150	Human	30321.0866666667	981.366666666667
AB7592	SB356	Patient 3 Tumor_human_3_singlet_Myelo_5	lung	tumor	20190829	Myelo+	Singlets	3	0.009	NA	NA	NA	NA	NA	158	Human	26791.6835443038	1568.03797468354
AB7601	SB356	Patient 1 Tumor diss1 singlet_CD3	lung	tumor	20190829	CD3+	Singlets	1	0.017	NA	NA	NA	NA	NA	205	Human	36209.0390243902	1193.43414634146
AB7603	SB356	Patient 1 Tumor diss1 PIC T-Myeloid	lung	tumor	20190829	CD3+Myelo+	PIC	1	0.015	NA	NA	NA	NA	NA	43	Human	28675.1162790698	3606.32558139535
AB7608	SB356	Patient 3 Tumor_human_3_PIC_CD3_Myelo_1	lung	tumor	20190829	CD3+Myelo+	PIC	3	0.011	NA	NA	NA	NA	NA	128	Human	32275.2890625	1954.0078125
AB7609	SB356	Patient 3 Tumor_human_3_singlet_CD3_2	lung	tumor	20190829	CD3+	Singlets	3	0.04	NA	NA	NA	NA	NA	24	Human	26009.7916666667	871.875
AB8118	SB364	Patient 5_Tumor_human_5_PIC_CD3_Myelo_1	lung	tumor	20191018	CD3+Myelo+	PIC	5	0.015	NA	NA	NA	NA	NA	187	Human	31036.0802139037	2149.32620320856
AB8119	SB364	Patient 5_Tumor_human_5_PIC_CD3_Myelo_2	lung	tumor	20191018	CD3+Myelo+	PIC	5	0.014	NA	NA	NA	NA	NA	167	Human	34106.0658682635	1869.02994011976
AB8120	SB364	Patient 5_Tumor_human_5_PIC_CD3_Myelo_3	lung	tumor	20191018	CD3+Myelo+	PIC	5	0.014	NA	NA	NA	NA	NA	164	Human	38694.0548780488	1931.35975609756
AB8121	SB364	Patient 5_Tumor_human_5_singlet_Myelo_4	lung	tumor	20191018	Myelo+	Singlets	5	0.017	NA	NA	NA	NA	NA	234	Human	27705.9188034188	2144.23931623932
AB8122	SB364	Patient 5_Tumor_human_5_singlet_Myelo_5	lung	tumor	20191018	Myelo+	Singlets	5	0.013	NA	NA	NA	NA	NA	228	Human	21189.7149122807	1846.03070175439
AB8123	SB364	Patient 5_Tumor_human_5_singlet_CD3_6	lung	tumor	20191018	CD3+	Singlets	5	0.016	NA	NA	NA	NA	NA	137	Human	31954.9051094891	1051.22627737226
AB8124	SB364	Patient 5_Tumor_human_5_singlet_CD3_7	lung	tumor	20191018	CD3+	Singlets	5	0.017	NA	NA	NA	NA	NA	127	Human	35860.6299212598	1069.96062992126
AB8126	SB364	Patient 5_Normal_human_5_singlet_Myelo_9	lung	normal	20191018	Myelo+	Singlets	5	0.009	NA	NA	NA	NA	NA	238	Human	45712.8109243697	1203.29411764706
AB8127	SB364	Patient 5_Normal_human_5_PIC_CD3_Myelo_10	lung	normal	20191018	CD3+Myelo+	PIC	5	0.012	NA	NA	NA	NA	NA	212	Human	35382.9622641509	1520.17924528302
AB8128	SB364	Patient 5_Normal_human_5_PIC_CD3_Myelo_11	lung	normal	20191018	CD3+Myelo+	PIC	5	0.014	NA	NA	NA	NA	NA	241	Human	28649.4522821577	1611.90041493776
AB8129	SB364	Patient 5_Normal_human_5_singlet_Myelo_12	lung	normal	20191018	Myelo+	Singlets	5	0.009	NA	NA	NA	NA	NA	252	Human	28453.7698412698	1488.21031746032
AB8130	SB364	Patient 5_Normal_human_5_singlet_CD3_13	lung	normal	20191018	CD3+	Singlets	5	0.015	NA	NA	NA	NA	NA	182	Human	25850.1373626374	944.703296703297
AB8131	SB364	Patient 5_Normal_human_5_singlet_CD3_14	lung	normal	20191018	CD3+	Singlets	5	0.008	NA	NA	NA	NA	NA	160	Human	15201.2375	1026.8
AB8403	SB376	NSCLC_P7__tumor_pic	lung	tumor	20191217	CD3+Myelo+	PIC	7	0.016	NA	NA	NA	NA	NA	159	Human	15663.3899371069	2277.83647798742
AB8404	SB376	NSCLC_P7_tumor_singlet_T	lung	tumor	20191217	CD3+	Singlets	7	0.022	NA	NA	NA	NA	NA	292	Human	13952.3253424658	1225.14726027397
